Ticker,Gate_Passed,Expected_Return_3M,Return_Type,Warnings
NVDA,False,0.04252095307041669,CAPM,"Failed: Acc=32.6%, IC=-0.7482, Gap=46.2%"
AAPL,True,0.0076224556636850125,Grinold-Kahn,
MSFT,False,0.024963212177941823,CAPM,"Failed: Acc=17.9%, IC=-0.5989, Gap=60.2%"
AMZN,False,0.028288865694002414,CAPM,"Failed: Acc=44.2%, IC=0.0469, Gap=40.2%"
GOOGL,True,0.0027550501213584565,Grinold-Kahn,
GOOG,True,-0.002310065053326293,Grinold-Kahn,
META,False,0.02994042992245117,CAPM,"Failed: Acc=12.9%, IC=-0.7353, Gap=64.0%"
AVGO,False,0.041884396393630854,CAPM,"Failed: Acc=52.2%, IC=-0.0475, Gap=24.9%"
TSLA,True,-0.04054163696787001,Grinold-Kahn,
BRK-B,False,0.013841846738905735,CAPM,"Failed: Acc=43.8%, IC=0.5105, Gap=35.3%"
WMT,True,0.03825918548505592,Grinold-Kahn,
LLY,False,0.019195866516941527,CAPM,"Failed: Acc=43.8%, IC=0.0824, Gap=32.3%"
JPM,True,0.0029750970959314,Grinold-Kahn,
V,False,0.0192715474203201,CAPM,"Failed: Acc=37.5%, IC=-0.3554, Gap=37.8%"
XOM,False,0.01585264781338232,CAPM,"Failed: Acc=22.8%, IC=-0.5329, Gap=56.9%"
JNJ,False,0.007365708866903163,CAPM,"Failed: Acc=27.2%, IC=-0.2958, Gap=42.2%"
MU,False,0.04470481692125317,CAPM,"Failed: Acc=14.3%, IC=-0.3444, Gap=68.9%"
MA,False,0.019110004459402117,CAPM,"Failed: Acc=42.0%, IC=-0.3292, Gap=35.3%"
COST,False,0.014948654513524303,CAPM,"Failed: Acc=47.3%, IC=0.5791, Gap=37.1%"
ORCL,True,-0.07427604077014112,Grinold-Kahn,
ABBV,True,-0.021336323719118505,Grinold-Kahn,
BAC,False,0.024424489547392403,CAPM,"Failed: Acc=39.7%, IC=-0.1435, Gap=31.2%"
HD,False,0.018480214088303956,CAPM,"Failed: Acc=50.4%, IC=0.5228, Gap=36.0%"
PG,False,0.00764707819591661,CAPM,"Failed: Acc=69.2%, IC=-0.0004, Gap=6.4%"
CVX,True,-0.0034140831246003123,Grinold-Kahn,
GE,False,0.026150533554298222,CAPM,"Failed: Acc=48.7%, IC=-0.7602, Gap=37.0%"
CAT,False,0.031041912060907707,CAPM,"Failed: Acc=51.3%, IC=-0.3848, Gap=25.0%"
KO,False,0.007838516204172297,CAPM,"Failed: Acc=58.0%, IC=-0.4067, Gap=10.6%"
NFLX,False,0.023583902679994523,CAPM,"Failed: Acc=55.4%, IC=0.1007, Gap=29.5%"
AMD,False,0.0456241844221239,CAPM,"Failed: Acc=36.2%, IC=-0.0667, Gap=39.3%"
PLTR,False,0.043805949437325985,CAPM,"Failed: Acc=71.9%, IC=-0.4618, Gap=3.9%"
CSCO,False,0.029638264536257963,CAPM,"Failed: Acc=34.4%, IC=-0.0292, Gap=43.2%"
LRCX,False,0.04449905646822386,CAPM,"Failed: Acc=62.5%, IC=-0.2839, Gap=14.0%"
MRK,False,0.012218964682296671,CAPM,"Failed: Acc=60.3%, IC=-0.6355, Gap=1.9%"
AMAT,False,0.04067286113794654,CAPM,"Failed: Acc=55.4%, IC=-0.1181, Gap=24.2%"
PM,True,-0.0003216277393900074,Grinold-Kahn,
MS,True,7.63580984753518e-06,Grinold-Kahn,
GS,True,-0.0031501272232200847,Grinold-Kahn,
RTX,False,0.015011346555852083,CAPM,"Failed: Acc=43.8%, IC=-0.2657, Gap=45.8%"
WFC,True,-0.004006602618934025,Grinold-Kahn,
UNH,False,0.012632491481361875,CAPM,"Failed: Acc=30.4%, IC=-0.0239, Gap=51.3%"
IBM,True,-0.00031727983976464336,Grinold-Kahn,
AXP,True,0.0031341132183538424,Grinold-Kahn,
TMUS,False,0.0070277976331613945,CAPM,"Failed: Acc=12.5%, IC=0.1328, Gap=73.1%"
MCD,False,0.0111539053350118,CAPM,"Failed: Acc=43.8%, IC=-0.3340, Gap=33.2%"
LIN,False,0.014956460845085708,CAPM,"Failed: Acc=45.1%, IC=0.1378, Gap=41.5%"
GEV,False,0.034807892460616455,CAPM,ensemble.json missing
PEP,False,0.009936455678285395,CAPM,"Failed: Acc=58.0%, IC=-0.0713, Gap=18.2%"
INTC,False,0.03602513996158562,CAPM,"Failed: Acc=36.6%, IC=-0.3715, Gap=34.6%"
VZ,True,-0.010394565994767391,Grinold-Kahn,
C,False,0.03243222918974466,CAPM,"Failed: Acc=24.6%, IC=0.3587, Gap=39.7%"
AMGN,False,0.017315627291148283,CAPM,"Failed: Acc=46.9%, IC=-0.0367, Gap=34.5%"
TXN,True,-0.06450047637579946,Grinold-Kahn,
KLAC,False,0.04283500824412115,CAPM,"Failed: Acc=46.9%, IC=-0.0711, Gap=37.0%"
T,True,-0.00021055713716827706,Grinold-Kahn,
ABT,True,-0.0019308323042971252,Grinold-Kahn,
NEE,False,0.012240857849065626,CAPM,"Failed: Acc=28.6%, IC=-0.0589, Gap=43.2%"
TMO,False,0.02352852208288767,CAPM,"Failed: Acc=46.0%, IC=-0.1790, Gap=34.8%"
GILD,False,0.014891552456381837,CAPM,"Failed: Acc=45.5%, IC=-0.2177, Gap=28.7%"
DIS,True,-0.06832278479337109,Grinold-Kahn,
APH,False,0.03349542000584805,CAPM,"Failed: Acc=25.4%, IC=0.4950, Gap=55.0%"
ISRG,True,0.012048241116577374,Grinold-Kahn,
BA,False,0.020800524119449226,CAPM,"Failed: Acc=44.2%, IC=0.4151, Gap=41.5%"
DE,False,0.01819615331113355,CAPM,"Failed: Acc=67.9%, IC=0.0037, Gap=16.0%"
ADI,True,-0.012687537644994033,Grinold-Kahn,
TJX,False,0.01222269932841266,CAPM,ensemble.json missing
CRM,False,0.02794681155611078,CAPM,"Failed: Acc=39.7%, IC=0.3347, Gap=42.3%"
ANET,False,0.03875196636953964,CAPM,"Failed: Acc=52.7%, IC=0.5404, Gap=33.3%"
SCHW,False,0.02455602909498582,CAPM,"Failed: Acc=42.9%, IC=-0.3077, Gap=35.4%"
BLK,False,0.027041929749027326,CAPM,"Failed: Acc=49.1%, IC=0.1332, Gap=34.0%"
UNP,True,-0.032668105108431884,Grinold-Kahn,
LOW,False,0.019496727469961447,CAPM,"Failed: Acc=41.5%, IC=0.6076, Gap=42.0%"
HON,True,-0.014044731220590865,Grinold-Kahn,
PFE,True,-0.003136402847549759,Grinold-Kahn,
LMT,False,0.01222025032787278,CAPM,"Failed: Acc=51.8%, IC=0.0721, Gap=39.1%"
DHR,False,0.022832832341524438,CAPM,"Failed: Acc=45.5%, IC=-0.0461, Gap=33.9%"
UBER,False,0.023838210801012175,CAPM,ensemble.json missing
QCOM,False,0.03440723750222416,CAPM,"Failed: Acc=55.8%, IC=-0.0183, Gap=24.2%"
WELL,True,0.008381227355331823,Grinold-Kahn,
ETN,False,0.030828628256839328,CAPM,"Failed: Acc=40.2%, IC=0.3659, Gap=42.9%"
APP,False,0.06325806542714874,CAPM,"Failed: Acc=54.5%, IC=0.0755, Gap=30.2%"
SYK,False,0.016495654589496797,CAPM,"Failed: Acc=51.3%, IC=-0.2830, Gap=33.0%"
COP,False,0.020028251129709067,CAPM,"Failed: Acc=38.4%, IC=-0.1465, Gap=45.8%"
NEM,False,0.026069636659241006,CAPM,ensemble.json missing
ACN,True,-0.021742302593337887,Grinold-Kahn,
PLD,False,0.018686026145833732,CAPM,"Failed: Acc=56.7%, IC=0.2296, Gap=32.1%"
BKNG,True,0.014335039001711907,Grinold-Kahn,
COF,False,0.03221780335332056,CAPM,"Failed: Acc=54.9%, IC=-0.0138, Gap=18.8%"
CB,False,0.008890208585785334,CAPM,"Failed: Acc=48.7%, IC=0.1280, Gap=28.3%"
PH,False,0.025648698001523123,CAPM,"Failed: Acc=57.6%, IC=-0.1828, Gap=26.6%"
MDT,True,-0.014285636486439822,Grinold-Kahn,
BMY,False,0.013124713572698905,CAPM,"Failed: Acc=53.6%, IC=-0.0489, Gap=21.8%"
SPGI,True,0.004834969486043925,Grinold-Kahn,
VRTX,False,0.01938886725223087,CAPM,"Failed: Acc=33.9%, IC=-0.3229, Gap=52.3%"
PANW,False,0.028023526827289834,CAPM,"Failed: Acc=39.3%, IC=0.5425, Gap=49.8%"
GLW,False,0.03489350218206046,CAPM,"Failed: Acc=50.4%, IC=-0.1248, Gap=20.6%"
PGR,False,0.010082768424625766,CAPM,ensemble.json missing
HCA,True,0.03350343107537118,Grinold-Kahn,
MCK,False,0.008691649767457373,CAPM,"Failed: Acc=49.6%, IC=0.0503, Gap=37.3%"
MO,True,0.025210959283059085,Grinold-Kahn,
CMCSA,False,0.015990589248100966,CAPM,"Failed: Acc=54.9%, IC=-0.1939, Gap=26.1%"
SBUX,False,0.0234302255566013,CAPM,"Failed: Acc=41.1%, IC=0.0198, Gap=45.7%"
CME,True,-0.0073754431452288305,Grinold-Kahn,
BSX,False,0.013300922996036416,CAPM,ensemble.json missing
TT,False,0.023856836770434993,CAPM,"Failed: Acc=38.8%, IC=-0.3979, Gap=37.4%"
HWM,True,0.030404818578996868,Grinold-Kahn,
SO,False,0.005202400678994547,CAPM,"Failed: Acc=55.4%, IC=-0.1441, Gap=12.5%"
INTU,False,0.027921972887047564,CAPM,ensemble.json missing
ADBE,False,0.02230294527662701,CAPM,ensemble.json missing
CEG,False,0.0341590197742218,CAPM,"Failed: Acc=67.0%, IC=0.3514, Gap=28.9%"
NOW,False,0.025725356904702918,CAPM,ensemble.json missing
NOC,True,-0.0018609810229698418,Grinold-Kahn,
UPS,False,0.019475095468607675,CAPM,"Failed: Acc=54.5%, IC=-0.3369, Gap=25.8%"
DUK,False,0.005829103101617935,CAPM,"Failed: Acc=31.2%, IC=-0.3124, Gap=46.8%"
CRWD,True,0.046299838715127745,Grinold-Kahn,
CVS,False,0.011322084269881771,CAPM,"Failed: Acc=34.4%, IC=-0.4822, Gap=40.2%"
WM,False,0.012374570511415547,CAPM,"Failed: Acc=37.5%, IC=0.3323, Gap=38.6%"
EQIX,False,0.01561667474004758,CAPM,"Failed: Acc=28.6%, IC=-0.2123, Gap=47.6%"
USB,True,-0.006938783104683659,Grinold-Kahn,
FDX,False,0.020714342882554894,CAPM,"Failed: Acc=44.2%, IC=0.0101, Gap=32.3%"
MAR,False,0.022234699796560314,CAPM,"Failed: Acc=45.1%, IC=0.2633, Gap=23.4%"
FCX,False,0.03540012203498081,CAPM,"Failed: Acc=55.8%, IC=0.2604, Gap=29.4%"
BX,False,0.03301691325589101,CAPM,ensemble.json missing
